id,client_id,branch_id,code_id,api_id,function_id,importance_and_isactive_tag,start,end,time_taken,project_id
1,client1,dev,,,,[],2022-06-10 17:32:01.880964+00:00,2022-06-10 17:32:02.299728+00:00,0 days 00:00:00.418764,1
2,client1,dev,,1,,[],2022-06-10 17:32:01.880964+00:00,2022-06-10 17:32:02.096400+00:00,0 days 00:00:00.215436,1
3,client1,dev,,1,1,[],2022-06-10 17:32:01.987673+00:00,2022-06-10 17:32:02.096400+00:00,0 days 00:00:00.108727,1
4,client1,dev,,,2,[],2022-06-10 17:32:02.097427+00:00,2022-06-10 17:32:02.299728+00:00,0 days 00:00:00.202301,1
